-0.165500,0.277800,-0.417700,0.000000,1.000000,0.000000
0.256500,-0.283900,0.916100,0.706300,-0.707800,-0.009168
-0.252000,0.275200,0.468700,-0.432500,0.901600,0.000000
0.257000,-0.259400,-0.921900,0.670800,-0.020090,-0.741300
0.031460,-0.284500,0.311900,0.000000,-0.679700,-0.733500
0.256000,0.274100,0.067080,0.697500,0.716600,0.000000
0.109600,-0.284500,-0.311900,0.000030,-0.679400,0.733800
0.102800,0.272500,0.925800,0.000000,0.667000,0.745000
-0.248500,-0.011380,-0.918400,-0.692500,0.000000,-0.721400
0.250000,0.276700,-0.795500,0.234300,0.972200,0.000000
-0.249100,-0.133600,0.890100,-0.976900,0.000029,-0.213500
0.235300,0.155900,0.502600,-0.509400,-0.860500,0.000000
-0.245000,0.277700,0.020390,-0.167500,0.985900,-0.000005
0.263800,0.127800,-0.356600,1.000000,0.000000,0.000049
-0.225800,-0.286600,-0.580700,0.018050,-0.999800,0.000000
-0.239800,-0.106500,0.519600,-1.000000,0.007520,0.000000
